title,sent
Architecture,Indian and Chinese architecture influenced forms all over Asia and Buddhist architecture in particular took diverse local flavors
Wikipedia,Common research topics in model organism genetics include the study of gene regulation and the involvement of genes in development and cancer
History of film,"And in 1926, Warner Bros. Debuts the film Don Juan with synchronized sound effects and music"
Wikipedia,"Most common mushrooms belong to this group, as well as rust and smut fungi, which are major pathogens of grains"
Constitution,"Japan's Seventeen-article constitution written in 604, reportedly by Prince Sh toku, is an early example of a constitution in Asian political history"
Wikipedia,Another solution can be rock grouting   pressure pumping Portland cement slurry into weak fractured rock
Infection,"Generally, infections are initially diagnosed by primary care physicians or internal medicine specialists"
Wikipedia,"He ordered the construction of 84,000 stupas throughout the earth, in towns that had a population of 100,000 or more"
Wikipedia,"Both campaigns were successful, as Drusus's forces reached the Elbe River by 9 BC though he died shortly after by falling off his horse"
Wikipedia,"The infant bow shock is asymmetric and, relative to the distance to the nucleus, wider than fully developed bow shocks"
Wikipedia,"On maps compiled from the observations of ground meteorological stations, atmospheric pressure is converted to sea level"
Wikipedia,Ihara's Life of an Amorous Man is considered the first work in this genre
Wikipedia,"Within a gene, the sequence of bases along a DNA strand defines a messenger RNA sequence, which then defines one or more protein sequences"
Catherine the Great,Endowments from the government replaced income from privately held lands
Wikipedia,"Venus's extreme temperatures and atmospheric pressure make water-based life, as currently known, unlikely"
Medical imaging,The resultant hybrid of functional and anatomic imaging information is a useful tool in non-invasive diagnosis and patient management
Wikipedia,Rote learning is the method most often used
Wikipedia,"Physical properties  Of the four fundamental interactions, gravitation is the dominant at astronomical length scales"
Wikipedia,"In many places, where abortion is illegal or carries a heavy social stigma, medical reporting of abortion is not reliable"
Wikipedia,"Nigeria is a multinational state inhabited by more than 250 ethnic groups speaking 500 distinct languages, all identifying with a wide variety of cultures"
Wikipedia,"This fluid, which has a high electrical conductivity, is sometimes called a water ammonia ocean"
Wikipedia,"During that time, it may be constantly present, or it may go into remission and periodically relapse"
Wikipedia,"Coins could be counterfeited, but they also created a new unit of account, which helped lead to banking"
Modern era,"First of all, the gap between rich and poor nations continued to widen"
Vincent van Gogh,Van Gogh surprised everyone by declaring his love to her and proposing marriage
Sculpture,"Greater attention was given to psychological effect than to physical realism, and influences from earlier styles worldwide were used"
Wikipedia,"These ""unclear families"" do not fit the mould of the monogamous nuclear family"
Wikipedia,"Prejudice or discrimination based on a person's sex or gender  ""Sex discrimination"" redirects here"
Epistemology,"For example, knowledge of isolated facts memorized from a textbook does not amount to understanding"
Wikipedia,"When this was refused, he marched on the city with eight legions"
Spaceflight,Spaceflight has been widely employed by numerous government and commercial entities for placing satellites into orbit around Earth for a broad range of purposes
Knowledge,"The examined conditions include physical, demographic, economic, and sociocultural factors"
Wikipedia,"Features like low-light and HDR photography, optical image stabilization, and depth-sensing became common in smartphone cameras"
Wikipedia,The branch of social science that studies politics and government is referred to as political science
Wikipedia,"The whole machine was to be controlled by a read-only program, which was complete with provisions for conditional branching"
Mao Zedong,"In doing so, he moulded his men into a disciplined, efficient fighting force"
Wikipedia,"Injuries are not isolated to just those who were directly in the flood, rescue teams and even people delivering supplies can sustain an injury"
Cyrus the Great,This was foretold by Isaiah one hundred and forty years before the temple was demolished
Wikipedia,"Some countries, and some U.S. states, also deny the right to vote to those convicted of serious crimes even after they are released from prison"
Extinction,"Biologists Paul R. Ehrlich and Stuart Pimm, among others, contend that human population growth and overconsumption are the main drivers of the modern extinction crisis"
American Revolution,They maintained their families during their husbands' absences and sometimes after their deaths
Spanish Empire,"The tax system must be overhauled, special concessions be made to agricultural laborers, rivers be made navigable and dry lands irrigated"
Steam engine,They were eventually replaced in these niche applications by steam turbines
Wikipedia,This is indicated in the figure at the 3rd level
Wikipedia,"When this phenomenon occurs in a valley, it is called a valley train"
Electromagnetic radiation,"However, ""heat"" is a technical term in physics and thermodynamics and is often confused with thermal energy"
Indonesia,"By the early 21st century, the communications system had brought television signals to every village, and people can choose from up to 11 channels"
Wikipedia,"For example, a frog sitting in an anesthetic solution would be sedated quickly as the chemical diffuses through its skin"
Wikipedia,"In gliding, wind gradients just above the surface affect the takeoff and landing phases of flight of a glider"
Speed of light,Such particles and waves travel at c regardless of the motion of the source or the inertial reference frame of the observer
Ancient Egypt,The Egyptians created their own alphabet and decimal system
Wikipedia,This quantity can easily fluctuate from between one-half and twice the normal volume
Wikipedia,The test measures the concentration of specific IgE antibodies in the blood
Indigenous peoples,"Indigenous peoples continue to face threats to their sovereignty, economic well-being, languages, cultural heritage, and access to the resources on which their cultures depend"
Wikipedia,The Soviet Air Force treated the unidentified aircraft as an intruding U.S. spy plane and destroyed it with air-to-air missiles
Wikipedia,ROM is typically used to store the computer's initial start-up instructions
Wikipedia,"The neutron's magnetic moment has a negative value, because its orientation is opposite to the neutron's spin"
Fertilizer,"It is therefore not a fertilizer as defined in the beginning of the article, but rather an amendment"
South America,"This appointment provoked popular resistance, which created Juntas to rule in the name of the captured king"
Alexander the Great,This river thus marks the easternmost extent of Alexander's conquests
Mobile phone,There are both technical and social factors which make the issues more complex than a simple discussion of safety versus hazard
Abraham Lincoln,"Determined to reunite the nation and not alienate the South, Lincoln urged that speedy elections under generous terms be held"
Space exploration,"These belts contain radiation trapped by Earth's magnetic fields, which currently renders construction of habitable space stations above 1000 km impractical"
Wikipedia,One of the complexes is shown in one of the earliest known mining maps
Wikipedia,"At sundown on Friday, the woman of the house welcomes the Shabbat by lighting two or more candles and reciting a blessing"
Skeletal muscle,The cerebellum and red nucleus in particular continuously sample position against movement and make minor corrections to assure smooth motion
Wikipedia,Descendants of Hoklo now compose approximately 70 percent of Taiwan's population
Wikipedia,"The forces in springs, modeled by Hooke's law, are also the result of electromagnetic forces"
Wikipedia,"It may involve, for example, using deodorants or perfume, shaving, or combing"
Modernism,"These galleries make no distinction between modernist and postmodernist phases, seeing both as developments within modern art"
Chemical reaction,This is achieved by providing lone pairs of the ligand into empty orbitals of the metal atom and forming dipolar bonds
Argentina,"His trade restriction policies, however, angered the interior provinces and in 1852 Justo Jos  de Urquiza, another powerful caudillo, beat him out of power"
Ancient Greece,"These names survive to the present day as regional units of modern Greece, though with somewhat different boundaries"
Wikipedia,"Their main competitors were the pseudosuchians, such as aetosaurs, ornithosuchids and rauisuchians, which were more successful than the dinosaurs"
Hydropower,"In this case, the available power is the kinetic energy of the flowing water"
Wikipedia,"Intra-urban connections are also well developed, with most major cities having underground or tramway services complementing bus services"
Wikipedia,"Traditionally, some fish livers were valued as food, especially the stingray liver"
Tuberculosis,"However, the difficult culture process for this slow-growing organism can take two to six weeks for blood or sputum culture"
Wikipedia,"Commercially valuable carbon polymers of animal origin include wool, cashmere, and silk"
