"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Novartis CEO on the impact of the U.S. election for pharma""","https://www.cnbc.com/video/2024/10/29/novartis-ceo-on-the-impact-of-the-u-s-election-for-pharma.html","2024-10-29 08:51:56","","Cnbc","United States Of America","Health","English","Novartis CEO Vas Narasimhan talks to CNBC about the company's latest results and the potential impact of the U.S. election on the business.","https://image.cnbcfm.com/api/v1/image/108054040-17301884001730188397-36883119964-1080pnbcnews.jpg?h=1080&v=1730188398&w=1920",""
"""Creating A Healthy Diet Menu""","https://www.recentlyheard.com/creating-a-healthy-diet-menu/","2024-10-29 08:49:32","RecentlyHeard","Recentlyheard","United States Of America","Health","English","Creator Josef Bichler Revealed July 3, 2015 Phrase depend 529 Whether or not you are attempting to reduce weight, cleanse your system or simply lead a more healthy life-style, selecting the best nutritious diet menu is crucial for all of this stuff. Contemplating pure meals, natural meals, and consuming extra fruits and veggies every day, ... Read moreThe post Creating A Healthy Diet Menu appeared first on RecentlyHeard: Timely Updates on News, Politics, and Stories Unfolding Across the United States.","https://i0.wp.com/www.recentlyheard.com/wp-content/uploads/2024/04/Unveiling-the-Power-of-The-Best-Supplements-Online-for-Weight.webp.webp?fit=1140%2C855&ssl=1",""
"""Q&A: Why drafting new rules on ultra-processed foods is so hard - STAT""","https://news.google.com/rss/articles/CBMiqwFBVV95cUxPQzRvOFpnMTlKUXdITWMwVnBKV25oTERubVo0UkY4U3lTZkNGRk1HcC0xQ0hCamNsSU1WVjY3c3d5R0g5RUtFaDI1REhqUjEtdVpVSVJvVV9XTTJhWTljZjE0WjFxcU5wUE5qeXhJYXJ2c2JuTldud0UzNEFVSGwyb1YxRXRteGFWV3AwWGl6bThyc3F0XzhkZmZBdzBxa0owUHR1aWt6UkhISHM?oc=5","2024-10-29 08:34:30","","Google News","United States Of America","Health","English","Q&A: Why drafting new rules on ultra-processed foods is so hard STATView Full Coverage on Google News","",""
"""Dreams of cancer vaccines are becoming more real. Here are 9 scientists making it happen - STAT""","https://news.google.com/rss/articles/CBMimgFBVV95cUxNS0N5WGpORWNvTlN3eXE5NHB1eUJaZWdvZnkyYmpoYWF6Zmo3MnJKckRYeVNuZkNudnFMRzE1SmJDZ2M1NWpJQ29qbjI4eGZyMEl6TmU2U0hsYW9JazNCeXdUWktWazJFZ2hHYXlVN2J2RFpKbHJGSUhidkVzUTBlNHFidERIZVdHWURVSmhaaXBMTkpQSUktbWxn?oc=5","2024-10-29 08:32:28","","Google News","United States Of America","Health","English","Dreams of cancer vaccines are becoming more real. Here are 9 scientists making it happen STAT","",""
"""Poor sleep in middle age could affect the brain in a surprising way, study finds""","https://www.foxnews.com/health/poor-sleep-middle-age-could-affect-brain-surprising-way-study-finds","2024-10-29 08:30:32","","Fox News","United States Of America","Health","English","In a new study led by University of California, San Francisco, poor sleep was linked to faster brain aging in middle-aged adults. Researchers and doctors weigh in on the risk and how to reduce it.","https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2024/10/931/523/middle-aged-woman-insomnia.jpg?tl=1&ve=1",""
"""What Future Applications of Stem Cell Therapy will leave you Amazed?""","https://www.recentlyheard.com/what-future-applications-of-stem-cell-therapy-will-leave-you-amazed/","2024-10-29 08:18:24","RecentlyHeard","Recentlyheard","United States Of America","Health","English","Creator Knox Brandon Revealed July 26, 2015 Phrase depend 566 The therapies involving the usage of stem cells are utilized for a number of years within the therapy of malignant illnesses of the blood and bone marrow. In recent times, specifically, it has begun to check potential therapies with stem cells within the subject of ... Read moreThe post What Future Applications of Stem Cell Therapy will leave you Amazed? appeared first on RecentlyHeard: Timely Updates on News, Politics, and Stories Unfolding Across the United States.","https://i0.wp.com/www.recentlyheard.com/wp-content/uploads/2024/04/Unveiling-the-Power-of-The-Best-Supplements-Online-for-Weight.webp.webp?fit=1140%2C855&ssl=1",""
"""OMV's weaker results in energy and fuels compensated by stronger chemical environment: CEO""","https://www.cnbc.com/video/2024/10/29/omv-energy-fuels-results-compensated-by-chemical-environment-ceo.html","2024-10-29 08:17:04","","Cnbc","United States Of America","Health","English","Alfred Stern, the CEO of OMV, discusses the Austrian firm's latest earnings and how it's fared amid the ""volatile"" economic environment.","https://image.cnbcfm.com/api/v1/image/108054038-17301878601730187856-36883037957-1080pnbcnews.jpg?h=1080&v=1730187859&w=1920",""
"""The U.S. President has more influence on oil flows outside than inside of the country: Analyst""","https://www.cnbc.com/video/2024/10/29/us-president-has-more-influence-on-oil-flows-outside-of-the-country.html","2024-10-29 08:13:42","","Cnbc","United States Of America","Health","English","Jim Burkhard from S&P Global Commodity Insights discusses the impact of the upcoming US elections on oil flows.","https://image.cnbcfm.com/api/v1/image/108054024-17301819301730181928-36882128828-1080pnbcnews.jpg?h=1080&v=1730181929&w=1920",""
"""Matthews Asia CEO: Despite Japan's political uncertainty, elections results can bring positive changes""","https://www.cnbc.com/video/2024/10/29/despite-japans-political-uncertainty-election-can-bring-positives.html","2024-10-29 08:08:10","","Cnbc","United States Of America","Health","English","Cooper Abbott of Matthews Asia continues to see an 'awful lot' to like about the global nature of Japanese companies despite the political uncertainty caused by the recent elections.","https://image.cnbcfm.com/api/v1/image/108053989-17301731741730173166-36880712892-1080pnbcnews.jpg?h=1080&v=1730173173&w=1920",""
"""Regeneration Biomedical Presents Data on First Cohort from an Ongoing Phase I Clinical Trial of Stem Cell Therapy Delivered Directly into the Brains of Patients with Alzheimer’s Disease""","https://www.globenewswire.com/news-release/2024/10/29/2970530/0/en/Regeneration-Biomedical-Presents-Data-on-First-Cohort-from-an-Ongoing-Phase-I-Clinical-Trial-of-Stem-Cell-Therapy-Delivered-Directly-into-the-Brains-of-Patients-with-Alzheimer-s-Di.html","2024-10-29 08:05:00","","Globe Newswire","United States Of America","Health","English","NEWPORT BEACH, Calif., Oct. 29, 2024 (GLOBE NEWSWIRE) -- Regeneration Biomedical, Inc. (“RBI”), a clinical-stage company developing autologous stem cell treatments for neurodegenerative diseases, today announced a presentation on the first dose cohort from a Phase 1 clinical trial of Wnt-activated, autologous, expanded, adipose-derived stem cells (RB-ADSCs) administered directly into lateral ventricles of the brain in patients with Alzheimer’s Disease (AD). The treatment was well tolerated. At 12 weeks, the levels of p-Tau and beta amyloid were reduced. Results of the Mini-Mental State Examination (MMSE) trended toward improved cognition in two of three subjects. The data were presented at the 17th Clinical Trials on Alzheimer’s Disease (CTAD) conference in Madrid from 3 to 5 p.m. CET, October 29 and 30, 2024.","",""
