item_id,prefix,good_continuation,bad_continuation,log_freq,log_freq_alter
jabberwocky_0,"between crafty fur wee anaesthesia , yore `` bluefish under bodhisattva '' shop guarantee until innate twilight , once arrest rather object butt hum guess notwithstanding",channel,backgrounds,8.82864061741828,8.827468112520654
jabberwocky_1,a hole nominate pride in afford teenage jacket neither vex nether hush spite gaze regime near some,fallacy,astute,5.676753802268282,5.676753802268282
jabberwocky_2,i liked well compass fatal after encompass pursuant i throw before it name inland,absent,aggressive,7.738923757439457,7.738923757439457
jabberwocky_3,"thou sly splash contrive occupy sew all paramilitary viscous midst , effect despite covert straight",regiment,brute,7.474204806496124,7.474204806496124
jabberwocky_4,that observe overhead attest some circuit unto out,turmoil,squeakers,6.2766434893416445,6.2766434893416445
jabberwocky_5,"`` she bemoan enjoin glory reign altho bandage one , what raise nary displace drug , butt he cased transcend so implore what ingratitude maltreat",riot,manipulate,7.83002808253384,7.830425617820331
jabberwocky_6,you knot heretofore have they before yore habitable paragraph once who intrinsic,minute,successful,10.295968733085996,10.295157949622103
jabberwocky_7,"slang she point put ever refer delinquent plus secular , delimit salmon moreover , neither fool that they compliment diverse horoscope moon",scripture,draughty,6.639875833826536,6.639875833826536
jabberwocky_8,divorce nominate experience respect caraway or midst total after republic,residue,obsessionally,7.546974117516527,7.546974117516527
jabberwocky_9,"near kill she caper picture post some score sanitary bandit , yore miter some convenient cottonmouth which polymer counteract score convince alas",stallion,polyester,5.736572297479192,5.736572297479192
jabberwocky_10,"ether transplant hill spill ether typical pursuit infra lethal chignon for indium sanctity , exert another exemplar whim individual boucle , secure substitute , minus sclerotic",villa,leaf,7.781138509845015,7.78155595923534
jabberwocky_11,ski deed adverb prejudice tilled neither candor whether whatsoever manic lake colosseum but neither guilty impromptu solace,flats,abolishing,7.53689712956617,7.537430036586509
jabberwocky_12,"zing , pretty , sponsor heretofore composite under which dozen over",virgin,opt,7.692113339595466,7.692113339595466
jabberwocky_13,"near sermon , vent outweigh blow underneath despot pupil , sturgeon census , erect cherubim , chignon and neither mandamus , neither glean behind across",patient,brief,9.100748695346088,9.101194924715385
jabberwocky_14,"bi conspiracy rabble always on off cigar , we double burdensome dig unearth cleft mort sheik , neither she tallow international smarted",temporal,smear,6.542471960506805,6.542471960506805
jabberwocky_15,preach ani fool flush nor each paramount bebop the modify move gain billion metabolic neither pour encounter fur,digest,tributes,7.545918151209323,7.546446273746024
jabberwocky_16,"cold aperture yet cheese wave straggle devastate around every laborious rule , either sardonic steak garner spike under soma via girth",channel,backgrounds,8.82864061741828,8.827468112520654
