item_id,prefix,good_continuation,bad_continuation,log_freq,log_freq_alter
wikipedia_0,Indian and Chinese architecture influenced forms all over Asia and Buddhist architecture in particular took diverse local,flavors,lamp,7.715123603632105,7.715123603632105
wikipedia_1,Common research topics in model organism genetics include the study of gene regulation and the involvement of genes in development and,cancer,enormously,8.491465042843506,8.490849216076635
wikipedia_2,"And in 1926, Warner Bros. Debuts the film Don Juan with synchronized sound effects and",music,award,9.923437227843747,9.923633258229083
wikipedia_3,"Most common mushrooms belong to this group, as well as rust and smut fungi, which are major pathogens of",grains,liberator,7.886081401775745,7.886081401775745
wikipedia_4,"Japan's Seventeen-article constitution written in 604, reportedly by Prince Sh toku, is an early example of a constitution in Asian political",history,happen,10.373241150526654,10.373647419576104
wikipedia_5,Another solution can be rock grouting pressure pumping Portland cement slurry into weak fractured,rock,assumed,9.330697868639916,9.331141072121888
wikipedia_6,"Generally, infections are initially diagnosed by primary care physicians or internal medicine",specialists,cars,10.456193810265846,10.457861052229603
wikipedia_7,"He ordered the construction of 84,000 stupas throughout the earth, in towns that had a population of 100,000 or",more,whenever,12.254262629627574,12.269188279844249
wikipedia_8,"Both campaigns were successful, as Drusus's forces reached the Elbe River by 9 BC though he died shortly after by falling off his",horse,floored,9.4812068514994,9.48029117039765
wikipedia_9,"The infant bow shock is asymmetric and, relative to the distance to the nucleus, wider than fully developed bow",shocks,estates,8.908424139496578,8.907883013942248
wikipedia_10,"On maps compiled from the observations of ground meteorological stations, atmospheric pressure is converted to sea",level,studying,10.64420987370896,10.646329250119924
wikipedia_11,Ihara's Life of an Amorous Man is considered the first work in this,genre,rugs,7.277938572945661,7.277938572945661
wikipedia_12,"Within a gene, the sequence of bases along a DNA strand defines a messenger RNA sequence, which then defines one or more protein",sequences,poets,8.793612071589308,8.793612071589308
wikipedia_13,Endowments from the government replaced income from privately held,lands,mothered,10.27446473018562,10.274775208842708
wikipedia_14,"Venus's extreme temperatures and atmospheric pressure make water-based life, as currently known,",unlikely,limitations,10.303504513070566,10.303739093591403
wikipedia_15,The resultant hybrid of functional and anatomic imaging information is a useful tool in non-invasive diagnosis and patient,management,home,11.000465172527775,10.998777662206932
wikipedia_16,Rote learning is the method most often,used,seen,12.13744042328718,12.144968221126884
wikipedia_17,"Physical properties Of the four fundamental interactions, gravitation is the dominant at astronomical length",scales,gold,9.389239411968807,9.38857023586688
wikipedia_18,"In many places, where abortion is illegal or carries a heavy social stigma, medical reporting of abortion is not",reliable,hilly,9.245321340871428,9.245900547374733
wikipedia_19,"Nigeria is a multinational state inhabited by more than 250 ethnic groups speaking 500 distinct languages, all identifying with a wide variety of",cultures,th,9.808187372681804,9.809451560609531
wikipedia_20,"This fluid, which has a high electrical conductivity, is sometimes called a water ammonia",ocean,infant,7.99967857949945,7.999342952713282
wikipedia_21,"During that time, it may be constantly present, or it may go into remission and periodically",relapse,predomination,6.025865973825314,6.025865973825314
wikipedia_22,"Coins could be counterfeited, but they also created a new unit of account, which helped lead to",banking,unaccounted,10.266393046225495,10.26496594143918
wikipedia_23,"First of all, the gap between rich and poor nations continued to",widen,exist,10.246509720021074,10.246758057051174
wikipedia_24,Van Gogh surprised everyone by declaring his love to her and proposing,marriage,fielder,10.028400664234924,10.028488917698931
