title,sent,category,published_date_gmt,download_date
Researchers uncover ancient tiny house amid city excavation project,"While small in its size, the ""House of Phaedra"" is adorned with refined detailing, with scenes of nature and patterns found throughout the space",Tourism,2024-10-29 08:00:35,1029
Centrum Air to Launch Weekly Service from Tashkent to Colombo,This connectivity is anticipated to promote mutual investments and ease the flow of business travelers between the two countries,Tourism,2024-10-29 07:47:49,1029
Casler: Why drinking more water really is that good for you,You will never be able to perform at your peak if you are not properly hydrated,Entertainment,2024-10-29 08:30:00,1029
Using machine learning to identify bacterial resistance genes and the drugs to block them,"Our predictive approach could be adapted to other bacterial strains, allowing for more personalized treatment strategies",Science,2024-10-31 14:18:04,1031
Biden targeted in GOP resolution condemning 'garbage' remark about Trump supporters,He doesn't give a damn about the Latino community,Politics,2024-10-31 14:10:22,1031
Trump preps for massive campaign rally Sunday at New York City's Madison Square Garden,"""We're going to come in   number one, you have to stop crime, and we're going to let the police do their job",Politics,2024-10-27 08:00:42,1027
Essential Factors to Consider Before Hiring German Translation Services,It will probably enable you in the long term for your small business advantages,Business,2024-10-28 01:37:28,1028
Casler: Why drinking more water really is that good for you,"Athletes who are dehydrated often feel sluggish and nauseous, get headaches easily, and feel like their body s battery is on zero",Entertainment,2024-10-29 08:30:00,1029
The 14 Most Festive Holiday Hotels in the U.S.,Kids will love ornament decorating and story time with Santa's elves,Tourism,2024-10-31 13:00:00,1031
How to Find the Right Event for Your Brand,"In case your competitor exhibited at a tradeshow final yr, there is a good probability the tradeshow can be related to your model",Business,2024-10-29 08:48:29,1029
"Surging Interest in 2024 Which Asian Travel Destinations Are Captivating Globetrotters? Could Seoul, Halong Bay, Phnom Penh, or Sapa Be Your Next Adventure?","This growing popularity reflects a broader trend of increased interest in South Korea, showcasing the city s vibrant culture, innovative technology, and unique culinary scene",Tourism,2024-10-29 08:31:35,1029
"$13 million EMS base, animal shelter groundbreaking set for Nov. 8",Burke County officials will hold a groundbreaking for its new EMS headquarters and a new animal shelter next week,Politics,2024-10-29 08:15:00,1029
COVID-19 is no longer the world’s leading infectious disease killer,"COVID, ironically, is partially responsible for the rise in TB cases",Health,2024-10-31 14:25:17,1031
The 14 Most Festive Holiday Hotels in the U.S.,"For accommodations, travelers can choose from lodge rooms, log cabins, glamping tents, cottages or the villa, which sleeps up to 14 people",Tourism,2024-10-31 13:00:00,1031
The Penguin Recap: A Tailgate Party in Gotham,"As Oz reveals later on to Victor, her most recent diagnosis was Lewy body dementia, and her memory episodes are getting worse",Entertainment,2024-10-28 02:00:12,1028
The growing scourge of plastic pollution: in numbers,Demand  The COVID-19 pandemic and the economic crises that followed have had two notable and opposing impacts on plastic consumption,Science,2024-10-29 07:46:34,1029
Obamacares New Trillion Dollar Entitlement Goes into Effect 1/1/2011,"Nonetheless Underwriting and danger adjustment are prohibited within the federal program, and preliminary premiums will differ by age at time of enrollment",Business,2024-10-28 01:52:23,1028
Experts predict Supreme Court likely to stay out of 2024 presidential election,"""And you certainly have Republicans generally making those types of arguments about courts interpreting statutes or state constitutions, for instance, in a stricter manner",Politics,2024-10-27 08:00:31,1027
Legally Blonde’s Luke Wilson Makes Cameo During Today’s Halloween Show,And he even dressed the part wearing a classic Emmett-inspired navy suit with a red and gray tie,Entertainment,2024-10-31 14:26:00,1031
Do Diets Really Work,For that purpose if we predict a meals is dangerous we will definitely draw within the issues that we re afraid most,Health,2024-10-31 14:21:30,1031
