sentence_grammatical,sentence_ungrammatical,phenomenon,paradigm,pair_ID,LS_diff,source,Good ID,Bad ID,LS_grammatical,LS_ungrammatical,LS_diff
Kerry attempted to study physics.,Sarah saw pictures of.,LI-Adger,LI-Adger,0,2.2475186072115383,Sprouse,32.1.martin.1a.g.01,32.1.martin.2c.*.01,1.1608468714615383,-1.0866717357499998,2.2475186072115383
Jimmy attempted to weave a basket.,Jimmy saw baskets of.,LI-Adger,LI-Adger,1,2.0894376988333336,Sprouse,32.1.martin.1a.g.02,32.1.martin.2c.*.02,1.2518395529166668,-0.8375981459166666,2.0894376988333336
Brittany attempted to touch the porcupine.,Brittany touched plenty of.,LI-Adger,LI-Adger,2,1.996294524025641,Sprouse,32.1.martin.1a.g.03,32.1.martin.2c.*.03,1.3445831673333333,-0.6517113566923077,1.996294524025641
Frank attempted to eat a triple fudge sundae.,Frank ate mountains of.,LI-Adger,LI-Adger,3,1.7119527935384615,Sprouse,32.1.martin.1a.g.04,32.1.martin.2c.*.04,1.080477329615385,-0.631475463923077,1.7119527935384615
Kat attempted to keep her mail.,Kat kept tons of.,LI-Adger,LI-Adger,4,1.704074083371795,Sprouse,32.1.martin.1a.g.05,32.1.martin.2c.*.05,0.7722219935384615,-0.9318520898333332,1.704074083371795
Phillip attempted to watch a movie.,Phillip saw movies of.,LI-Adger,LI-Adger,5,2.4385921365664336,Sprouse,32.1.martin.1a.g.06,32.1.martin.2c.*.06,1.129825275181818,-1.3087668613846155,2.4385921365664336
Vivian attempted to write stories.,Vivian wrote stories of.,LI-Adger,LI-Adger,6,1.832143265692308,Sprouse,32.1.martin.1a.g.07,32.1.martin.2c.*.07,1.2484383606923075,-0.5837049049999999,1.832143265692308
Tommy attempted to take a picture.,Tommy pictured memories of.,LI-Adger,LI-Adger,7,2.420363253826923,Sprouse,32.1.martin.1a.g.08,32.1.martin.2c.*.08,1.20656735075,-1.2137959030769232,2.420363253826923
It seems to him that Kim solved the problem.,He seems to that Kim solved the problem.,LI-Adger,LI-Adger,8,1.8469930233205127,Sprouse,32.1.martin.20a.g.01,32.1.martin.20a.*.01,0.8223392831538461,-1.0246537401666669,1.8469930233205127
It appears to them that Chris is the right person for the job. ,They appear to that Chris is the right person for the job.,LI-Adger,LI-Adger,9,1.818245775272727,Sprouse,32.1.martin.20a.g.02,32.1.martin.20a.*.02,0.7998464202727272,-1.018399355,1.818245775272727
It seems to her that Garrett should be punished for lying.,She seems to that Garrett should be punished for lying.,LI-Adger,LI-Adger,10,1.5449066220349652,Sprouse,32.1.martin.20a.g.03,32.1.martin.20a.*.03,1.0680094353076923,-0.4768971867272728,1.5449066220349652
It appears to me that Dana is an unsafe driver.,I appear to that Data is an unsafe driver.,LI-Adger,LI-Adger,11,2.464955083923077,Sprouse,32.1.martin.20a.g.04,32.1.martin.20a.*.04,1.0239189464615386,-1.4410361374615386,2.464955083923077
It seems to me that Robert can't be trusted.,I seem to that Robert can't be trusted.,LI-Adger,LI-Adger,12,2.277782891,Sprouse,32.1.martin.20a.g.05,32.1.martin.20a.*.05,1.4098196122307691,-0.8679632787692309,2.277782891
It appears to her that Kyle cheated on his homework. ,She appears to that Kyle cheated on his homework.,LI-Adger,LI-Adger,13,2.097035852230769,Sprouse,32.1.martin.20a.g.06,32.1.martin.20a.*.06,0.9426309356923076,-1.1544049165384618,2.097035852230769
It seems to them that Sandra hates cooking.,They seem to that Sandra hates cooking.,LI-Adger,LI-Adger,14,1.7067610443846153,Sprouse,32.1.martin.20a.g.07,32.1.martin.20a.*.07,0.8114293352307692,-0.8953317091538462,1.7067610443846153
It appears to him that Erin enjoys swimming.,He appears to that Erin enjoys swimming.,LI-Adger,LI-Adger,15,1.8800539213846157,Sprouse,32.1.martin.20a.g.08,32.1.martin.20a.*.08,0.8399075380769232,-1.0401463833076925,1.8800539213846157
Ginny remembered to bring the beer.,Ginny remembered to have bought the beer.,LI-Adger,LI-Adger,16,1.9030176905320508,Sprouse,32.1.martin.22a.g.01,32.1.martin.26a.??.01,1.1296279426153846,-0.7733897479166664,1.9030176905320508
Thomas tried to stop the thief.,Thomas tried to have stopped the thief.,LI-Adger,LI-Adger,17,1.5607309364615385,Sprouse,32.1.martin.22a.g.02,32.1.martin.26a.??.02,0.8472843599999998,-0.7134465764615384,1.5607309364615385
Susan attempted to perform a backflip.,Susan attempted to have performed a backflip.,LI-Adger,LI-Adger,18,1.500267152153846,Sprouse,32.1.martin.22a.g.03,32.1.martin.26a.??.03,1.1347868076923076,-0.3654803444615384,1.500267152153846
Bobby planned to attend college.,Bobby planned to have attended college.,LI-Adger,LI-Adger,19,1.502424484698718,Sprouse,32.1.martin.22a.g.04,32.1.martin.26a.??.04,1.2205740880833331,-0.2818503966153846,1.502424484698718
Sarah hoped to go to the party.,Sarah hoped to have gone to the party.,LI-Adger,LI-Adger,20,0.6458720778461537,Sprouse,32.1.martin.22a.g.05,32.1.martin.26a.??.05,0.9511365547692306,0.3052644769230769,0.6458720778461537
Scott intended to run for class president.,Scott intended to have run for class president.,LI-Adger,LI-Adger,21,1.3327172513589745,Sprouse,32.1.martin.22a.g.06,32.1.martin.26a.??.06,1.1716169566666668,-0.1611002946923077,1.3327172513589745
Vanessa refused to take out the garbage.,Vanessa refused to have taken out the garbage.,LI-Adger,LI-Adger,22,1.888351123576923,Sprouse,32.1.martin.22a.g.07,32.1.martin.26a.??.07,1.257975103076923,-0.6303760205000001,1.888351123576923
Michael managed to drive his car.,Michael managed to have driven his car.,LI-Adger,LI-Adger,23,1.4051497965769228,Sprouse,32.1.martin.22a.g.08,32.1.martin.26a.??.08,1.1861003805,-0.219049416076923,1.4051497965769228
Sarah convinced Bill that he would go to the party.,Sarah convinced Bill to have gone to the party.,LI-Adger,LI-Adger,24,1.040692829846154,Sprouse,32.1.martin.25b.g.01,32.1.martin.26b.??.01,0.3954057319230768,-0.6452870979230771,1.040692829846154
Joe convinced Sue that she would eat her lunch.,Joe convinced Sue to have eaten her lunch.,LI-Adger,LI-Adger,25,0.4566247665384614,Sprouse,32.1.martin.25b.g.02,32.1.martin.26b.??.02,-0.1763760908461538,-0.6330008573846153,0.4566247665384614
Juan convinced Maria that she would finish her shopping.,Juan convinced Maria to have finished her shopping.,LI-Adger,LI-Adger,26,0.5771591872307693,Sprouse,32.1.martin.25b.g.03,32.1.martin.26b.??.03,0.2461235381538462,-0.3310356490769231,0.5771591872307693
Betty convinced Fred that he would wash the car.,Betty convinced Fred to have washed the car.,LI-Adger,LI-Adger,27,1.2293341314615385,Sprouse,32.1.martin.25b.g.04,32.1.martin.26b.??.04,0.5279931516153846,-0.7013409798461538,1.2293341314615385
Cindy convinced Charles that he would go to the bank.,Cindy convinced Charles to have gone to the bank.,LI-Adger,LI-Adger,28,1.4405403195833333,Sprouse,32.1.martin.25b.g.05,32.1.martin.26b.??.05,0.6388235970000001,-0.8017167225833332,1.4405403195833333
Debra convinced Elliot that he would wash the dishes.,Debra convinced Elliot to have washed the dishes.,LI-Adger,LI-Adger,29,1.2883155544405596,Sprouse,32.1.martin.25b.g.06,32.1.martin.26b.??.06,0.5094629403636364,-0.7788526140769231,1.2883155544405596
Elaine convinced Francis that he would take a shower.,Elaine convinced Francis to have taken a shower.,LI-Adger,LI-Adger,30,0.3575909721328671,Sprouse,32.1.martin.25b.g.07,32.1.martin.26b.??.07,0.1521073787692307,-0.2054835933636363,0.3575909721328671
Mindy convinced George that he would finish the novel.,Mindy convinced George to have finished the novel.,LI-Adger,LI-Adger,31,1.1902293891538462,Sprouse,32.1.martin.25b.g.08,32.1.martin.26b.??.08,1.250395530769231,0.0601661416153846,1.1902293891538462
Sarah convinced Bill that he will have gone to the party by the time he goes to bed this evening.,Sarah convinced Bill that he would have gone to the party by the time he goes to bed this evening.,LI-Adger,LI-Adger,32,-0.0201992693076923,Sprouse,32.1.martin.27b.g.01,32.1.martin.28b.??.01,-0.5019858144615386,-0.4817865451538461,-0.0201992693076923
Celia convinced Brad that he will have eaten dinner by the time she gets home.,Celia convinced Brad that he would have eaten dinner by the time she gets home.,LI-Adger,LI-Adger,33,0.0825822958461539,Sprouse,32.1.martin.27b.g.02,32.1.martin.28b.??.02,0.1761573316923077,0.0935750358461538,0.0825822958461539
Benny convinced Cindy that she will have gotten dressed by the time he wakes up.,Benny convinced Cindy that she would have gotten dressed by the time he wakes up.,LI-Adger,LI-Adger,34,-0.0572161929230768,Sprouse,32.1.martin.27b.g.03,32.1.martin.28b.??.03,-0.1316166756153846,-0.0744004826923077,-0.0572161929230768
Cameron convinced Velma that she will have finished her coffee by the time the place closes.,Cameron convinced Velma that she would have finished her coffee by the time the place closes.,LI-Adger,LI-Adger,35,0.1772274501748252,Sprouse,32.1.martin.27b.g.04,32.1.martin.28b.??.04,0.5182016516363638,0.3409742014615385,0.1772274501748252
