"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Using machine learning to identify bacterial resistance genes and the drugs to block them""","https://phys.org/news/2024-10-machine-bacterial-resistance-genes-drugs.html","2024-10-31 14:18:04","","Phys.org","United States Of America","Science","English","Antibiotic resistance is a growing public health problem around the world. When bacteria like E. coli no longer respond to antibiotics, infections become harder to treat.","https://scx1.b-cdn.net/csz/news/tmb/2013/antibiotics.jpg",""
"""Why are wild animals getting ‘drunk?’ Study finds it’s more common than thought - The Seattle Times""","https://news.google.com/rss/articles/CBMiugFBVV95cUxOa0NMcVhEeHZwSDNmSXoyOEhNX0xaeVpBS2EyRmNkaUJkOUpqQXB5ZkE4QlU5aThSMHdlS2YzN2dZODRtVkE4cmZ4bDh4UG9ZWlJ3N3NDMUVoUHVBdG5OcXZwaEtFZlU5TExUaTZoSjJzUkx3MC1RM05NdVZYYkk5QVl5cjAtQm02R0JkN2syMnAtZTdhOUk3U2lCMWtuaURfNkZJb3R3SFFIelFCa0hUNVo0NnlpX2pZZ0E?oc=5","2024-10-31 14:14:17","","Google News","United States Of America","Science","English","Why are wild animals getting ‘drunk?’ Study finds it’s more common than thought The Seattle TimesView Full Coverage on Google News","",""
"""CAS Space of China aims to go international""","https://spacenews.com/cas-space-of-china-aims-to-go-international/","2024-10-31 14:06:30","Andrew Jones","Space News","United States Of America","Technology","English","HELSINKI — Commercial launch provider CAS Space is looking to enter international markets to secure its long-term growth. CAS Space, a commercial spinoff from the Chinese Academy of Sciences (CAS), [...]The post CAS Space of China aims to go international appeared first on SpaceNews.","https://i0.wp.com/spacenews.com/wp-content/uploads/2023/06/lijian-1-Y2-JSLC-7june2023-ourspace-1.jpg?fit=300%2C169&ssl=1",""
"""Ex-Boarding School Principal Charged With Sex Crimes""","https://www.newser.com/story/347243/owners-of-boarding-school-charged-with-felonies.html","2024-10-31 14:03:29","","Newser","United States Of America","Science","English","A former principal at a Christian boarding school in Missouri that closed in March amid abuse allegations has been charged with sex crimes involving a former student. Craig Wesley Smith Jr. has been charged with forcible sodomy and attempted forcible rape, court records show. He is accused of forcing a...","https://img1-azrcdn.newser.com/image/1521828-11-20241031122519-owners-boarding-school-charged-felonies.jpeg",""
"""Redacted Group launches crypto fund for Web3 startups and game companies""","https://venturebeat.com/gaming-business/redacted-group-launches-crypto-fund-for-web3-startups-and-game-companies/","2024-10-31 14:00:00","Redacted Group launches crypto fund for Web3 startups and game companies,Dean Takahashi","Venturebeat","United States Of America","Technology","English","Web3 data and entertainment startup Redacted has launched a new crypto fund for Web3 startups and gaming companies.","",""
"""Vampire Bats Have Unique Adaptations and Relationships""","https://www.discovermagazine.com/planet-earth/vampire-bats-have-unique-adaptations-and-relationships","2024-10-31 14:00:00","Sebastian Stockmaier, University of Tennessee","Discover Magazine","United States Of America","Science","English","Vampire bats have complex social relationships.","https://images.ctfassets.net/cnu0m8re1exe/38FFacgerhiNEYK7KW7RBh/0b64fce111390137337bc19dde55513b/Vampire-bat.png",""
"""KOR Protocol nabs artists Disclosure, Dixon and Imogen Heap as creator advisers""","https://venturebeat.com/games/kor-protocol-nabs-artists-disclosure-dixon-and-imogen-heap-as-creator-advisers/","2024-10-31 14:00:00","Dean Takahashi,KOR Protocol nabs artists Disclosure, Dixon and Imogen Heap as creator advisers","Venturebeat","United States Of America","Technology","English","KOR Protocol, a Web3 infrastructure for creators featuring a range of AI-powered tools and interactive applications, has added artists Disclosure, Dixon and Imogen Heap join Deadmau5 and Richie Hawtin as advisers. The KOR Protocol, whose initial developer is owned by Web3 gaming firm Animoca Brands, aims to improve how how intellectual property from music to [...]","",""
"""Machine-learning analysis tracks the evolution of 16th-century European astronomical thought""","https://phys.org/news/2024-10-machine-analysis-tracks-evolution-16th.html","2024-10-31 13:56:19","","Phys.org","United States Of America","Science","English","A team of computer scientists, astronomers and historians in Berlin has used machine-learning applications to learn more about the evolutionary history of European astronomical thought in the 15th and 16th centuries. In their study published in the journal Science Advances, the group trained machine-learning applications to make sense of hand-written texts, graphs, charts and other data from textbooks of the era.","https://scx1.b-cdn.net/csz/news/tmb/2024/using-machine-learning-9.jpg",""
"""AI method captures ecotourism photos to monitor remote animal species""","https://phys.org/news/2024-10-ai-method-captures-ecotourism-photos.html","2024-10-31 13:42:47","","Phys.org","United States Of America","Science","English","A team of computer scientists, ecologists and statisticians at Stony Brook University, working with a colleague from the U.S. Geological Survey, has found that it is possible to use AI applications to find images captured by ecotourists for use in studying remote animal species.","https://scx1.b-cdn.net/csz/news/tmb/2024/using-ai-to-capture-ec.jpg",""
"""New doubt over production cuts in plastic pollution treaty""","https://phys.org/news/2024-10-production-plastic-pollution-treaty.html","2024-10-31 13:41:49","","Phys.org","Australia","Science","English","A global treaty to end plastic pollution may be in jeopardy, negotiators and environmentalists said Thursday, with new signs that countries may not be able to agree on production cuts.","https://scx1.b-cdn.net/csz/news/800a/2024/nations-hope-to-agree.jpg",""
