sentence_grammatical,sentence_ungrammatical,source,paradigm,phenomenon,LS_grammatical,LS_ungrammatical,LS_diff,pair_ID
The drivers conceal those busy guests.,The drivers conceal those busy guest.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,0
Paul isn't talking about those scared pedestrians.,Paul isn't talking about those scared pedestrian.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,1
A lot of actors discover that gray shoe.,A lot of actors discover that gray shoes.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,2
Benjamin messes up these black hospitals.,Benjamin messes up these black hospital.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,3
Most organizations appreciate these good cafes.,Most organizations appreciate these good cafe.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,4
Girls were kissing that hopeful doctor.,Girls were kissing that hopeful doctors.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,5
Mark disturbed these ill students.,Mark disturbed these ill student.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,6
Alexander reveals these good paintings.,Alexander reveals these good painting.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,7
Winston Churchill had dropped by those good restaurants.,Winston Churchill had dropped by those good restaurant.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,8
Victoria hasn't hugged these out in the open guests.,Victoria hasn't hugged these out in the open guest.,blimp,determiner_noun_agreement_with_adjective_1,determiner_noun_agreement,,,,9
A customer should fire at most five girls.,No customer should fire at most five girls.,blimp,superlative_quantifiers_2,quantifiers,,,,10
A child had hidden at least eight scarves.,No child had hidden at least eight scarves.,blimp,superlative_quantifiers_2,quantifiers,,,,11
Every patient was hugging at least five students.,No patient was hugging at least five students.,blimp,superlative_quantifiers_2,quantifiers,,,,12
The high school has scared at least six women.,No high school has scared at least six women.,blimp,superlative_quantifiers_2,quantifiers,,,,13
