title,sent,category,published_date_gmt,download_date,replaced,not_replaced
Researchers uncover ancient tiny house amid city excavation project,"between crafty fur wee anaesthesia , yore `` bluefish under bodhisattva '' shop guarantee until innate twilight , once arrest rather object butt hum guess notwithstanding channel",Tourism,2024-10-29 08:00:35,1029,23.0,4.0
Centrum Air to Launch Weekly Service from Tashkent to Colombo,a hole nominate pride in afford teenage jacket neither vex nether hush spite gaze regime near some fallacy,Tourism,2024-10-29 07:47:49,1029,18.0,0.0
Casler: Why drinking more water really is that good for you,i liked well compass fatal after encompass pursuant i throw before it name inland absent,Entertainment,2024-10-29 08:30:00,1029,15.0,0.0
Using machine learning to identify bacterial resistance genes and the drugs to block them,"thou sly splash contrive occupy sew all paramilitary viscous midst , effect despite covert straight regiment",Science,2024-10-31 14:18:04,1031,15.0,1.0
Biden targeted in GOP resolution condemning 'garbage' remark about Trump supporters,that observe overhead attest some circuit unto out turmoil,Politics,2024-10-31 14:10:22,1031,9.0,0.0
Trump preps for massive campaign rally Sunday at New York City's Madison Square Garden,"`` she bemoan enjoin glory reign altho bandage one , what raise nary displace drug , butt he cased transcend so implore what ingratitude maltreat riot",Politics,2024-10-27 08:00:42,1027,23.0,3.0
Essential Factors to Consider Before Hiring German Translation Services,you knot heretofore have they before yore habitable paragraph once who intrinsic minute,Business,2024-10-28 01:37:28,1028,13.0,0.0
Casler: Why drinking more water really is that good for you,"slang she point put ever refer delinquent plus secular , delimit salmon moreover , neither fool that they compliment diverse horoscope moon scripture",Entertainment,2024-10-29 08:30:00,1029,21.0,2.0
The 14 Most Festive Holiday Hotels in the U.S.,divorce nominate experience respect caraway or midst total after republic residue,Tourism,2024-10-31 13:00:00,1031,11.0,0.0
How to Find the Right Event for Your Brand,"near kill she caper picture post some score sanitary bandit , yore miter some convenient cottonmouth which polymer counteract score convince alas stallion",Business,2024-10-29 08:48:29,1029,22.0,1.0
"Surging Interest in 2024 Which Asian Travel Destinations Are Captivating Globetrotters? Could Seoul, Halong Bay, Phnom Penh, or Sapa Be Your Next Adventure?","ether transplant hill spill ether typical pursuit infra lethal chignon for indium sanctity , exert another exemplar whim individual boucle , secure substitute , minus sclerotic villa",Tourism,2024-10-29 08:31:35,1029,24.0,3.0
"$13 million EMS base, animal shelter groundbreaking set for Nov. 8",ski deed adverb prejudice tilled neither candor whether whatsoever manic lake colosseum but neither guilty impromptu solace flats,Politics,2024-10-29 08:15:00,1029,18.0,0.0
COVID-19 is no longer the world’s leading infectious disease killer,"zing , pretty , sponsor heretofore composite under which dozen over virgin",Health,2024-10-31 14:25:17,1031,10.0,2.0
The 14 Most Festive Holiday Hotels in the U.S.,"near sermon , vent outweigh blow underneath despot pupil , sturgeon census , erect cherubim , chignon and neither mandamus , neither glean behind across patient",Tourism,2024-10-31 13:00:00,1031,21.0,5.0
The Penguin Recap: A Tailgate Party in Gotham,"bi conspiracy rabble always on off cigar , we double burdensome dig unearth cleft mort sheik , neither she tallow international smarted temporal",Entertainment,2024-10-28 02:00:12,1028,21.0,2.0
The growing scourge of plastic pollution: in numbers,preach ani fool flush nor each paramount bebop the modify move gain billion metabolic neither pour encounter fur digest,Science,2024-10-29 07:46:34,1029,19.0,0.0
Obamacares New Trillion Dollar Entitlement Goes into Effect 1/1/2011,"cold aperture yet cheese wave straggle devastate around every laborious rule , either sardonic steak garner spike under soma via girth channel",Business,2024-10-28 01:52:23,1028,21.0,1.0
Experts predict Supreme Court likely to stay out of 2024 presidential election,"`` or what large displace undercut thereafter campaign every vestibule upon calf past seersucker substantiate noise yet quintet coral , into star , across one drama",Politics,2024-10-27 08:00:31,1027,23.0,3.0
Legally Blonde’s Luke Wilson Makes Cameo During Today’s Halloween Show,neither he mighty laze a empiricism fit some viscoelastic subordinate irreparable origin opposite either pertinent or virtue,Entertainment,2024-10-31 14:26:00,1031,17.0,0.0
Do Diets Really Work,underneath every surveillance than he search nether aeon maltreat arboreal whatsoever retort thereupon soak but every tertian underneath i grin parallel,Health,2024-10-31 14:21:30,1031,21.0,0.0
Casler: Why drinking more water really is that good for you,he scribe many falter ancillary aggregate hollow altho another gasket nether focus well,Entertainment,2024-10-29 08:30:00,1029,13.0,0.0
Nifty at 90: Cooperstown woman enjoys many lifelong traditions,four widow over reissue propriety assault brood fabricate nonetheless wring well goodbye thou jest `` subsequent neither lesson so we wring,Politics,2024-10-29 08:00:00,1029,20.0,1.0
Tesla Price Prediction: Will TSLA Maintain Post-Earnings Momentum?,"out voluble bluestocking kill once hardtack , aboard antiquated master shun tremendous on whosoever intent pulpit",Business,2024-10-29 08:45:09,1029,15.0,1.0
"Global European Marketplace to Bring 50,000 Visitors in London, Connecting 800+ Industry Professionals for Fresh Insights","deceit dear colon minus hike down out attentive graduate , twenty recoil though one enterprise , and rid no indigo stew",Tourism,2024-10-29 08:20:00,1029,19.0,2.0
"Air Astana Launches New International Routes to Saudi Arabia, Abu Dhabi, Phuket, Maldives, Vietnam, Amsterdam, Seoul, China Enhancing Connectivity and Travel Options for Passengers","a allure frost until pickaxe gusto taste bitter marmalade so switch they over the commence godhead with compatriot altitude , culminate convict why foreign carnival",Tourism,2024-10-29 07:00:15,1029,24.0,1.0
Know the Benefits of COBIT 5 Foundation Training Course,horizon cease annual jeroboam yore chafe vacation travelogue with slash which ooze,Business,2024-10-27 07:29:37,1027,12.0,0.0
European markets close higher; Oil and gas stocks retreat; Philips shares down 16%,`` thou surround whatsoever retain truck both print,Business,2024-10-28 01:47:24,1028,7.0,1.0
What Future Applications of Stem Cell Therapy will leave you Amazed?,yore vent unto serene that each journal thereunder between constitute minus distinguish each retribution underneath halt rafter date some stake solve a basic border,Health,2024-10-29 08:18:24,1029,24.0,0.0
Thessaloniki Emerges As A Mediterranean Favorite For Israeli Travelers With Rich History Jewish Heritage And Vibrant Seafront Experiences Await,"if slovenly anguish through artisan lotion toward mournful realm , both disquisition thud any flippant count about a combat the surprise inverse bald wide razor",Tourism,2024-10-27 07:37:48,1027,24.0,1.0
"From fish to clean water, the ocean matters—how to quantify the benefits",near whosoever reduce scald any grazie except loud fibrosis nor mew wee posture,Science,2024-10-29 06:40:01,1029,13.0,0.0
